Full Text Tweet;Datum und Uhrzeit
Fantastic to see so many people doing their bit in the fight against #coronavirus////If you want to volunteer to help the NHS, you can do so here: https://t.co/iD28UgOrZR https://t.co/F6QUMU3lcd;25-Mar-2020 (09:53:39.000000)
Thank you to the 11,788 former NHS staff who have answered the call to support the health service as it responds to #coronavirus.////Now people must stay at home to support you, so that you can be there to support us in our hour of need. #StayHomeSaveLives;24-Mar-2020 (20:49:36.000000)
Our athletes are committed to being the best in their field- day in, day out. To see their chance at Olympic glory postponed is hugely disappointing. But they recognise that this means more. We must now show our dedication by staying at home, protecting the NHS and saving lives. https://t.co/vvrvi8muHm;24-Mar-2020 (20:03:22.000000)
This morning, I chaired the first ever video conference Cabinet meeting.// //We must all do our bit to stop the spread of coronavirus, protect our NHS and save lives. #StayHomeSaveLives// //https://t.co/Eew4i0Wr5q https://t.co/LkWYYnMXnq;24-Mar-2020 (18:42:16.000000)
At this moment of national emergency you must stay at home, protect the NHS and save lives. ////#StayHomeSaveLives https://t.co/nb2baBmMJr;24-Mar-2020 (14:36:17.000000)
Please join me for an important update on #coronavirus #StayHomeSaveLives https://t.co/QSlIOIaYsF;23-Mar-2020 (20:31:22.000000)
These are the people who are saving lives. ////Stay at home, protect the NHS, and save lives.  ////#StayHomeSaveLives https://t.co/KGihWbNHTX;23-Mar-2020 (15:07:16.000000)
If you don’t follow these instructions, you are putting people’s lives at risk: ////You must stay at home to protect our NHS and save lives. ////#StayHomeSaveLives;23-Mar-2020 (08:40:46.000000)
Stay two metres apart.////It's not such a difficult thing.////Do it. It really will save lives. ////#coronavirus #StaySafeSaveLives https://t.co/SSbrwxjEar;22-Mar-2020 (20:04:36.000000)
We need you to do your bit to help us beat #coronavirus////Please RT.////#StayHomeSaveLives https://t.co/mSGgGsQDSH;22-Mar-2020 (15:39:46.000000)
We will get through this together, and we will beat the virus. ////To win this fight, we need everyone to follow our advice: as far as possible, we want you to stay at home. The more effectively everyone does this, the faster this country will recover.////#StayHomeSaveLives;22-Mar-2020 (13:56:23.000000)
