Full Text Tweet;Datum und Uhrzeit
Unser Ziel ist es, dass mit 14.4. kleine Geschäfte bis 400 m² unter strengen Vorgaben öffnen dürfen. Diese betreffen das Tragen von Masken, Desinfektion aber auch eine limitierte Anzahl von Kunden pro Geschäftslokal.;06-Apr-2020 (10:45:50.000000)
"Meine große Bitte: Die Osterwoche wird entscheidend sein. Halten Sie sich weiter an die Maßnahmen, meiden Sie soziale Kontakte, halten Sie Abstand &amp; vor allem feiern Sie nicht mit Familie &amp; Freunden, sondern bleiben Sie mit den Menschen zusammen, mit denen Sie auch wohnen.";06-Apr-2020 (10:45:29.000000)
"Wir erleben, dass sich das Coronavirus weltweit immer weiter ausbreitet. Wir haben in Österreich schneller &amp; restriktiver reagiert. Dadurch konnten wir bisher das Schlimmste verhindern. Das gibt uns die Möglichkeit, schneller wieder aus der Krise herauszukommen.";06-Apr-2020 (10:45:22.000000)
"Bitte halten Sie durch! Ich garantiere, Österreich wird diese Krise überstehen. Österreich wird schneller aus dieser Krise herauskommen als andere Länder. Aber nur, wenn wir zusammenstehen &amp; wenn wir vor allem eins tun, nämlich in den nächsten Wochen durchhalten!";03-Apr-2020 (13:03:12.000000)
"Wir haben als Bundesregierung entschieden, 38 Milliarden Euro in die Hand zu nehmen. Unser Zugang ist klar: Koste es, was es wolle! Wir werden alles tun, was notwendig ist, um Arbeitsplätze zu schützen &amp; den Wirtschaftsstandort Österreich gut durch diese Krise zu führen. https://t.co/Lxtb93eRqa";03-Apr-2020 (13:02:16.000000)
"Die Rückkehr zur Normalität wird verbunden sein mit Begleitmaßnahmen. Zum Ersten mit dem Schutz der Risikogruppen &amp; besonders gefährdeten Menschen. Zum Zweiten durch einen Kulturwandel: Abstand halten &amp; Masken tragen! Und zum Dritten: Containment durch Tracking &amp; Testungen.";03-Apr-2020 (12:58:51.000000)
"Klar ist: Wir wollen schnellstmöglich wieder aus dieser Krise herauskommen, aber nur so schnell, wie es verantwortungsvoll &amp; machbar ist. Sicherlich aber nicht um den Preis, dass uns passiert, was in anderen Ländern gerade stattfindet, nämlich Krankheit, Leid &amp; Tod.";03-Apr-2020 (12:57:33.000000)
"Meine Bitte an alle Menschen in Österreich: Lassen wir alles, was wir zu Ostern schätzen, heuer aus, um unsere Liebsten zu schützen &amp; die Freiheit, die wir alle gewohnt sind, wieder erlangen zu können.";03-Apr-2020 (12:56:43.000000)
Ich möchte mich heute ausdrücklich bei allen Menschen in Österreich bedanken, die gerade in ihrem Bereich oder mit ihrem Verhalten einen wichtigen Beitrag leisten! https://t.co/AY3hyC7LDo;03-Apr-2020 (12:53:35.000000)
"Die Maßnahmen, die wir gesetzt haben, zeigen Wirkung &amp; die Ausbreitung der Krankheit verlangsamt sich. Es muss uns aber auch allen klar sein: Wir sind noch nicht über den Berg. Jetzt ist es wichtig, durchzuhalten, um Österreich Situationen wie in anderen Ländern zu ersparen.";03-Apr-2020 (12:35:53.000000)
"Österreich ist bisher besser durch die Krise gekommen als andere Länder. Der Grund dafür sind die Österreicherinnen &amp; Österreicher. Wir haben schneller &amp; restriktiver reagiert &amp; durch dieses Verhalten wurden Leben gerettet. Vielen Dank an alle, die hier ihren Beitrag leisten!";03-Apr-2020 (12:34:19.000000)
Nachdem es anfangs einige Kritik an unseren Plänen gegeben hat, den Nasen- und Mundschutz für Supermärkte einzuführen, ändert nun auch das renommierte Robert-Koch-Institut in Deutschland seine Meinung. https://t.co/iwgJte1iLO;02-Apr-2020 (16:22:27.000000)
Political actors from all sides must work together to mitigate Covid-19 crisis and also pave the way for free and fair elections. @usembvienna @StateDep @jguaido;31-Mar-2020 (18:30:43.000000)
Welcome the #US proposal for democratic transition in #Venezuela. Humanitarian situation in Venezuela requires national unity government.;31-Mar-2020 (18:30:43.000000)
@usembvienna @Apple @roteskreuzat @bkagvat Thank you very much! @Apple @usembvienna;30-Mar-2020 (10:26:53.000000)
"Gemeinsam müssen wir alles tun, damit wir schnell zur Normalität &amp; zu einer erfolgreichen Wirtschaft zurückkommen können. Die Maßnahmen, die wir setzen, sind die richtigen, sie zeigen Wirkung, aber wir müssen noch schneller und noch besser werden.";30-Mar-2020 (10:23:48.000000)
Es ist unser Ziel, dass Masken mittelfristig überall dort, wo Kontakt mit Menschen stattfindet, getragen werden. Das ist eine zusätzliche Ergänzung, weil wir an den Zahlen ganz genau erkennen müssen, dass es notwendig ist, alles zu tun, um die Ausbreitung weiter zu reduzieren.;30-Mar-2020 (10:23:17.000000)
"Danke an die großen Supermarktketten in Österreich, die mit uns zusammenarbeiten &amp; die Verteilung von Masken übernehmen. Voraussichtlich werden Supermärkte ab Mittwoch an Eingängen beginnen, Masken zu übergeben. Ab diesem Zeitpunkt ist es Pflicht, diese beim Einkauf zu tragen.";30-Mar-2020 (10:23:17.000000)
"Die Masken sind kein Ersatz für das Abstandhalten, sondern eine zusätzliche verschärfte Maßnahme, um die Ausbreitung noch stärker reduzieren zu können! Durch das Tragen einer Maske kann man andere Menschen schützen &amp; die Übertragung durch die Luft reduzieren.";30-Mar-2020 (10:23:16.000000)
Es ist klar, dass das Tragen von Masken eine große Umstellung ist, aber sie ist notwendig, um die Ausbreitung stärker zu reduzieren. Es handelt sich nicht um Schutzmasken, wie bei medizinischem Personal, sondern um einen Mund-Nasen-Schutz.;30-Mar-2020 (10:23:15.000000)
Zusätzlich zu bereits gesetzten Maßnahmen werden wir 3 weitere Schritte setzen://1. den Schutz für besonders gefährdete Gruppen stärken//2. die konsequente Einhaltung der gesetzten Maßnahmen sicherstellen//3. auf das Tragen von Masken setzen;30-Mar-2020 (10:21:35.000000)
